Unnamed: 0,Brand,Price,Processor_Name,Processor_Brand,RAM_Expandable,RAM,RAM_TYPE,Ghz,Display_type,Display,GPU,GPU_Brand,SSD,HDD,Adapter,Battery_Life
1196,MSI,75000,Intel Core i7 (13th Gen),Intel, 64 GB Expandable,16 GB , DDR4 RAM , 4.8 Ghz Processor,LCD,15.6,Iris Xe,Intel,1024 GB SSD Storage,No HDD,no,
1197,ASUS,170990,Intel Core Ultra 7,Intel, 32 GB Expandable,32 GB LP, LPDDR5X RAM , 1.7 Ghz Processor,LED,13.3,Integrated,Intel,1024 GB SSD Storage,No HDD,65,65W Adapter
1198,Lenovo,63990,Intel Core i5 (12th Gen),Intel,Not Expandable,16 GB , DDR5 RAM, 3.3 Ghz Processor,LCD,15.6,"GeForce RTX 2050 GPU, 4 GB",NVIDIA,512 GB SSD Storage,No HDD,135, Upto 5 Hrs Battery Life
1199,ASUS,172990,Intel Core Ultra 7,Intel, 32 GB Expandable,32 GB LP, LPDDR5X RAM , 1.7 Ghz Processor,LED,13.3,Integrated,Intel,1024 GB SSD Storage,No HDD,65,65W Adapter
1200,HP,67999,AMD Octa-Core Ryzen 7,AMD, 16 GB Expandable,16 GB , DDR4 RAM , 4.2 Ghz Processor,LCD,15.6,Radeon,AMD,512 GB SSD Storage,No HDD,65, Upto 8 Hrs Battery Life
1201,ASUS,158990,Intel Core Ultra 7,Intel, 16 GB Expandable,16 GB LP, LPDDR5X RAM , 1.7 Ghz Processor,LED,13.3,Integrated,Intel,1024 GB SSD Storage,No HDD,65,65W Adapter
1202,Samsung,108990,Intel Core 5 (Series 1),Intel,Not Expandable,16 GB LP, LPDDR5 RAM, 1.4 Ghz Processor,LED,15.6,Graphics,Intel,512 GB SSD Storage,No HDD,65, Upto 8.7 Hrs Battery Life
1203,HP,71799,Intel Core i5 (12th Gen),Intel,Not Expandable,8 GB , DDR4 RAM, 4.2 Ghz Processor,LCD,14,Iris Xe,Intel,512 GB SSD Storage,No HDD,65,65W Adapter
1204,Samsung,131990,Intel Core Ultra 5,Intel,Not Expandable,16 GB LP, LPDDR5X RAM, 4.2 Ghz Processor,LED,14,Arc,Intel,512 GB SSD Storage,No HDD,65,65W Adapter
1205,Acer,94990,AMD Octa-Core Ryzen 7 Processor,AMD, 32 GB Expandable,8 GB , DDR5 RAM ,0,LCD,16,"GeForce RTX 4050 GPU, 6 GB",NVIDIA,512 GB SSD Storage,No HDD,330, Upto 10 Hrs Battery Life
1206,Acer,37990,Intel Core i3 (13th Gen) Processor,Intel,Not Expandable,8 GB LP, LPDDR5 RAM,0,LCD,15.6,UHD,Intel,512 GB SSD Storage,No HDD,65,65W Adapter
1207,Acer,32489,Intel Core i3 (12th Gen) Processor,Intel,Not Expandable,8 GB LP, LPDDR5 RAM,0,LCD,15.6,UHD,Intel,512 GB SSD Storage,No HDD,45,45W Adapter
1208,Lenovo,50990,AMD Octa-Core Ryzen 7,AMD,Not Expandable,16 GB , DDR4 RAM, 1.8 Ghz Processor,LCD,15.6,Radeon,AMD,512 GB SSD Storage,No HDD,65, Upto 8 Hrs Battery Life
1209,Lenovo,25999,Intel Celeron Dual-Core,Intel, 8 GB Expandable,8 GB , DDR4 RAM , 1.1 Ghz Processor,LCD,15.6,UHD 600,Intel,512 GB SSD Storage,No HDD,45, Upto 10 Hrs Battery Life
1210,Samsung,109990,Intel Core Ultra 5,Intel, 32 GB Expandable,16 GB LP, LPDDR5X RAM , 4.2 Ghz Processor,LED,16,Arc,Intel,512 GB SSD Storage,No HDD,65, Upto 7.5 Hrs Battery Life
1211,HP,56463,AMD Hexa-Core Ryzen 5,AMD, 16 GB Expandable,16 GB , DDR4 RAM , 4.7 Ghz Processor,LCD,15.6,Radeon,AMD,512 GB SSD Storage,No HDD,65,65W Adapter
